,Code,Description
115,10130,"Aarhus, Denmark: Aarhus Airport"
116,10131,"Asau, Samoa: Asau W Sam"
117,10132,"Araxa, Brazil: Araxa Airport"
118,10134,"Abadan, Iran: Abadan Airport"
119,10135,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International"
120,10136,"Abilene, TX: Abilene Regional"
121,10137,"Abidjan, Cote d'Ivoire: Felix Houphouet Boigny Abidjan International"
122,10138,"Kabri Dar, Ethiopia: Kebri Dahar"
123,10139,"Ambler, AK: Ambler River"
124,10140,"Albuquerque, NM: Albuquerque International Sunport"
125,10141,"Aberdeen, SD: Aberdeen Regional"
126,10142,"Abu Simbel, Egypt: Abu Simbel Airport"
127,10143,"Al-Baha, Saudi Arabia: King Saud Bin Abdulaziz"
128,10144,"Abuja, Nigeria: Nnamdi Azikiwe International"
129,10145,"Albury, Australia: Albury Airport"
130,10146,"Albany, GA: Southwest Georgia Regional"
131,10147,"Aberdeen, United Kingdom: Aberdeen Dyce"
132,10148,"Acapulco, Mexico: General Juan N Alvarez International"
133,10149,"Bellaire, MI: Antrim County"
134,10150,"Accra, Ghana: Accra Kotoka International"
135,10151,"Arrecife, Spain: Lanzarote"
136,10152,"Altenrhein, Switzerland: St Gallen Altenrhein"
137,10153,"Alderney, United Kingdom: Alderney Airport"
138,10154,"Nantucket, MA: Nantucket Memorial"
139,10155,"Waco, TX: Waco Regional"
140,10156,"Achutupo, Panama: Achutupo Airport"
141,10157,"Arcata/Eureka, CA: California Redwood Coast Humboldt County"
142,10158,"Atlantic City, NJ: Atlantic City International"
143,10159,"Adana, Turkey: Adana International"
144,10160,"Izmir, Turkey: Adnan Menderes"
145,10161,"Andakombe, Papua New Guinea: Andakombe Airport"
146,10162,"Addis Ababa, Ethiopia: Bole International"
147,10163,"Aden, Yemen: Aden International"
148,10164,"Amman, Jordan: Marka International"
149,10165,"Adak Island, AK: Adak"
150,10166,"Adelaide, Australia: Adelaide International"
151,10167,"Ardmore, OK: Ardmore Municipal"
152,10168,"Andes, Colombia: Andes Airport"
153,10169,"Andamooka, Australia: Andamooka Airport"
154,10170,"Kodiak, AK: Kodiak Airport"
155,10171,"Dallas, TX: Addison"
156,10172,"Camp Springs, MD: Joint Base Andrews"
157,10173,"St Andrews, United Kingdom: RAF Leuchars"
158,10174,"San Andres Island, Colombia: Gustavo Rojas Pinilla"
159,10175,"Al Dhafra, United Arab Emirates: Al Dhafra Air Base"
160,10176,"Aleneva, AK: Aleneva Airport"
161,10177,"Padang Sidempuan, Indonesia: Aek Godang"
162,10178,"Abeche, Chad: Abeche Airport"
163,10180,"Aioun El Atrouss, Mauritania: Aioun El Atrouss Airport"
164,10181,"Buenos Aires, Argentina: Aeroparque Jorge Newbery"
165,10182,"Adler/Sochi, Russia: Adler/Sochi Airport"
166,10183,"Aalesund, Norway: Vigra"
