,Code,Description
1296,11349,"Sedalia, MO: Sedalia Regional"
1297,11350,"Dimapur, India: Manipur Road"
1298,11351,"Okinawa, Japan: Kadena AB"
1299,11352,"Dunbar, Australia: Dunbar Airport"
1300,11353,"Duncan Canal, AK: Duncan Canal Airport"
1301,11354,"Dundee, United Kingdom: Dundee Airport"
1302,11355,"Dallas/Fort Worth, TX: Dallas North"
1303,11357,"Dnipropetrovsk, Ukraine: Dnipropetrovsk International"
1304,11358,"Augusta, GA: Daniel Field"
1305,11359,"Dalton, GA: Dalton Municipal"
1306,11360,"Dianopolis, Brazil: Dianopolis Airport"
1307,11361,"Deniliquin, Australia: Deniliquin Airport"
1308,11362,"Dinard, France: Dinard Pleurtuit St Malo"
1309,11363,"Danville, IL: Vermilion Regional"
1310,11365,"Denizli, Turkey: Cardak"
1311,11366,"Dodoma, Tanzania: Dodoma Airport"
1312,11367,"Dora Bay, AK: Dora Bay Airport"
1313,11368,"Dongola, Sudan: Dongola Airport"
1314,11369,"Doha, Qatar: Doha International"
1315,11370,"Donetsk, Ukraine: Donetsk International"
1316,11371,"Deauville, France: Deauville Normandie"
1317,11372,"Marigot, Dominica: Douglas Charles"
1318,11373,"Dos Lagunas, Guatemala: Dos Lagunas Airport"
1319,11374,"Dourados, Brazil: Dourados Airport"
1320,11375,"Dover, DE: Dover AFB"
1321,11376,"Chicago, IL: Du Page County"
1322,11377,"Dugway, UT: Michael AAF"
1323,11378,"Dipolog, Philippines: Dipolog Airport"
1324,11379,"Devonport, Australia: Devonport Airport"
1325,11380,"Denpasar, Indonesia: Gusti Ngurah Rai International"
1326,11381,"Deadhorse, AK: Badami"
1327,11382,"Montijo, Portugal: Montijo Airport"
1328,11383,"Sebastian, FL: Sebastian Municipal"
1329,11384,"Soda Springs, ID: Allen H Tigert"
1330,11385,"Holtville, CA: Holtville Airport"
1331,11387,"Springfield, TN: Springfield Robertson County"
1332,11388,"Alpine, AK: Alpine Airstrip"
1333,11389,"Colusa, CA: Colusa County"
1334,11390,"Killdeer, ND: Dunn County Weydahl Field"
1335,11391,"Fort Drum, NY: Wheeler-Sack AAF"
1336,11392,"Anchorage, AK: Lake Hood Strip"
1337,11394,"New Smyrna Beach, FL: New Smyrna Beach Municipal"
1338,11395,"Delhi, LA: Delhi Municipal"
1339,11396,"Georgetown, KY: Marshall Field"
1340,11397,"Cozad, NE: Cozad Municipal"
1341,11398,"Peach Springs, AZ: Grand Canyon West"
1342,11399,"Whitmore, AZ: Grand Canyon Bar Ten Airstrip"
1343,11400,"Boscombe, United Kingdom: Boscombe Down"
1344,11401,"Ketchikan, AK: Neets Bay"
1345,11402,"Haines, AK: Glacier Point"
1346,11403,"Peach Springs, AZ: Hualapai"
1347,11404,"Tsui River, AK: Tsui River Airport"
1348,11405,"Cape Canaveral, FL: Cape Canaveral AFS Skid Strip"
1349,11406,"Platinum, AK: Platinum Mine"
1350,11407,"Mercury, NV: Desert Rock"
1351,11408,"Derby, Australia: Derby Airport"
1352,11409,"Drummond Island, MI: Drummond Island Airport"
1353,11410,"Drift River, AK: Drift River Airport"
1354,11411,"Deering, AK: Deering Airport"
1355,11412,"Dirranbandi, Australia: Dirranbandi Airport"
1356,11413,"Durango, CO: Durango La Plata County"
1357,11414,"Dresden, Germany: Dresden Airport"
1358,11415,"Del Rio, TX: Del Rio International"
1359,11416,"Drummond, MT: Drummond Airport"
1360,11417,"Darwin, Australia: Darwin International"
1361,11418,"Finningley, United Kingdom: Doncaster Sheffield"
1362,11419,"La Desirade, Guadeloupe: La Desirade Airport"
1363,11420,"Dessie, Ethiopia: Dessie/Combolcha"
1364,11421,"Destin, FL: Destin Executive"
1365,11422,"Dera Ismail Khan, Pakistan: D. I. Khan"
1366,11423,"Des Moines, IA: Des Moines International"
1367,11424,"Delta, UT: Delta Municipal"
1368,11425,"Death Valley, CA: Furnace Creek"
1369,11427,"Detroit Lakes, MN: Detroit Lakes-Wething Field"
1370,11428,"Dortmund, Germany: Dortmund Airport"
1371,11429,"Shreveport, LA: Shreveport Downtown"
1372,11430,"Denton, TX: Denton Enterprise"
1373,11431,"Decatur Island, WA: Decatur"
1374,11432,"Detroit, MI: Detroit Metropolitan Area"
1375,11433,"Detroit, MI: Detroit Metro Wayne County"
1376,11434,"Durant, OK: Eaker Field"
1377,11435,"Dublin, Ireland: Dublin Airport"
1378,11436,"Duncan, OK: Halliburton Field"
1379,11437,"Dunedin, New Zealand: Dunedin Airport"
1380,11438,"Dundo, Angola: Dundo Airport"
1381,11439,"Duck, NC: Pine Island"
1382,11440,"Douglas, AZ: Bisbee Douglas International"
1383,11441,"DuBois, PA: DuBois Regional"
1384,11442,"Duncan/Quamichan Lake, Canada: Duncan"
1385,11443,"Durban, South Africa: Louis Botha"
1386,11444,"Dusseldorf, Germany: Duesseldorf"
1387,11445,"Unalaska, AK: Unalaska Airport"
1388,11446,"Diavik, Canada: Diavik Airport"
1389,11447,"Devils Lake, ND: Devils Lake Regional"
1390,11448,"Davenport, IA: Davenport Municipal"
1391,11449,"Davao, Philippines: Francisco Bangoy International"
1392,11450,"Phoenix, AZ: Phoenix - Deer Valley"
1393,11452,"Davis/Woodland/Winters, CA: Yolo County"
1394,11453,"Houston, TX: David Wayne Hooks Memorial"
1395,11454,"Orlando, FL: Walt Disney World"
1396,11455,"Dubai, United Arab Emirates: Dubai International"
1397,11456,"Danbury, CT: Danbury Municipal"
1398,11457,"Dayong, China: Hehua"
1399,11458,"Anadyr, Russia: Ugolny"
1400,11459,"Abilene, TX: Dyess AFB"
1401,11460,"Dushanbe, Tajikistan: Dushanbe Airport"
1402,11461,"Dzaoudzi, Mayotte: Dzaoudzi-Pamandzi"
1403,11462,"Durazno, Uruguay: Durazno Airport"
1404,11463,"Eagle, AK: Eagle Airport"
1405,11464,"Noatak, AK: Eagle Creek Strip"
1406,11466,"Nejran, Saudi Arabia: Nejran Airport"
1407,11467,"Wheatland, WY: Phifer Airfield"
1408,11468,"Kearney, NE: Kearney Regional"
1409,11469,"San Sebastian, Spain: San Sebastian Airport"
1410,11470,"Wenatchee, WA: Pangborn Memorial"
1411,11471,"Eau Claire, WI: Chippewa Valley Regional"
1412,11472,"Elba Island, Italy: Marina Di Campo"
1413,11473,"Entebbe/Kampala, Uganda: Entebbe International"
1414,11474,"El Obeid, Sudan: El Obeid Airport"
1415,11475,"Esbjerg, Denmark: Esbjerg Airport"
1416,11476,"Erbil, Iraq: Erbil International"
1417,11477,"St. Etienne, France: Saint Etienne Loire"
1418,11478,"East Tawas, MI: Iosco County"
1419,11479,"Elizabeth City, NC: Elizabeth City CGAS/Regional"
1420,11480,"Ercan, Cyprus: Ercan Airport"
1421,11481,"Panama City, FL: Northwest Florida Beaches International"
1422,11482,"Newcastle, WY: Mondell Field"
1423,11483,"Rocksprings, TX: Edwards County"
1424,11484,"Edna Bay, AK: Edna Bay Airport"
1425,11486,"Edenton, NC: Northeastern Regional"
1426,11487,"Anchorage, AK: Elmendorf AFB"
1427,11488,"Edinburgh, United Kingdom: Edinburgh Airport"
1428,11489,"Eldoret, Kenya: Eldoret Airport"
1429,11490,"Edwards, CA: Edwards AFB"
1430,11491,"Needles, CA: Needles Airport"
1431,11492,"Eek, AK: Eek Airport"
1432,11493,"Keene, NH: Dillant Hopkins"
1433,11494,"Eight Fathom Bight, AK: Eight Fathom Bight Airport"
1434,11495,"Houston, TX: Ellington"
1435,11496,"Newport, VT: Newport State"
1436,11497,"Kefallinia Island, Greece: Argostolion"
1437,11498,"Cairo, Egypt: Cairo West"
1438,11499,"Jiyanklis, Egypt: Jiyanklis AB"
1439,11500,"Beni Suef, Egypt: Beni Suef Airport"
1440,11501,"Chenega, AK: Chenega Airport"
1441,11502,"Bergerac, France: Bergerac Dordogne Perigord"
1442,11503,"Eagle, CO: Eagle County Regional"
1443,11504,"Crestview, FL: Duke Field"
1444,11505,"Geneina, Sudan: Geneina Airport"
1445,11506,"Eagle Pass, TX: Eagle Pass Municipal"
1446,11507,"Egilsstadir, Iceland: Egilsstadir Airport"
1447,11508,"Wellington, KS: Wellington Municipal"
1448,11510,"Eagle River, WI: Eagle River Union"
1449,11511,"Egegik, AK: Egegik Airport"
1450,11512,"Cape Newenham, AK: Cape Newenham LRRS"
1451,11513,"Eagle Harbor, AK: Eagle Harbor Airport"
1452,11514,"East Hartford, CT: Rentschler Heliport"
1453,11515,"Eia, Papua New Guinea: Eia Airport"
1454,11516,"Eisenach, Germany: Eisenach Kindel"
1455,11517,"Fairbanks, AK: Eielson AFB"
1456,11518,"Eindhoven, Netherlands: Eindhoven Airport"
1457,11519,"Road Town, British Virgin Islands: Terrance B. Lettsome"
1458,11520,"Barrancabermeja, Colombia: Yariguies"
1459,11521,"Wedjh, Saudi Arabia: Wedjh Airport"
1460,11522,"Eureka, CA: Murray Field"
1461,11523,"Elkhart, IN: Elkhart Municipal"
1462,11524,"Elkins, WV: Elkins-Randolph County-Jennings Randolph Field"
1463,11525,"Elko, NV: Elko Regional"
1464,11526,"Elizabethtown, KY: Addington Field"
1465,11527,"Bessemer, AL: Bessemer Airport"
1466,11528,"Eagle Lake, TX: Eagle Lake Airport"
1467,11529,"El Banco, Colombia: El Banco Airport"
1468,11530,"Elcho Island, Australia: Elcho Island Airport"
1469,11531,"El Dorado, AR: South Arkansas Regional at Goodwin Field"
1470,11532,"El Fasher, Sudan: El Fasher Airport"
1471,11533,"El Golea, Algeria: El Golea Airport"
1472,11534,"North Eleuthera, The Bahamas: North Eleuthera Airport"
1473,11535,"Elim, AK: Elim Airport"
1474,11536,"El Recreo, Colombia: El Recreo Airport"
1475,11537,"Elmira/Corning, NY: Elmira/Corning Regional"
1476,11538,"Ellensburg, WA: Bowers Field"
1477,11540,"El Paso, TX: El Paso International"
1478,11541,"Gassim, Saudi Arabia: Prince Naif Bin Abdulaziz"
1479,11543,"East London, South Africa: East London Airport"
1480,11544,"El Tor, Egypt: El Tor Airport"
1481,11545,"Elfin Cove, AK: Elfin Cove Seaplane Base"
1482,11546,"Ellamar, AK: Ellamar Seaplane Base"
1483,11547,"Ely, NV: Ely Airport/Yelland Field"
1484,11548,"Derby, United Kingdom: East Midlands"
1485,11549,"Emerald, Australia: Emerald Airport"
1486,11550,"Emmonak, AK: Emmonak Airport"
1487,11551,"Kemmerer, WY: Kemmerer Municipal"
1488,11552,"Nema, Mauritania: Nema Airport"
1489,11553,"Emporia, KS: Emporia Municipal"
1490,11554,"El Monte, CA: San Gabriel Valley"
1491,11555,"Kenai, AK: Kenai Municipal"
1492,11556,"Nancy, France: Nancy Essey"
1493,11557,"Enid, OK: Vance AFB"
1494,11558,"Centralia, IL: Centralia Municipal"
1495,11559,"Nenana, AK: Nenana Municipal"
1496,11560,"Comayagua, Honduras: Coronel Enrique Soto Cano AB"
1497,11561,"Enschede, Netherlands: Twente"
1498,11562,"Enugu, Nigeria: Akanu Ibiam International"
1499,11563,"Wendover, UT: Wendover Airport"
1500,11564,"Kenosha, WI: Kenosha Regional"
1501,11565,"Medellin, Colombia: Olaya Herrera"
1502,11566,"Keokuk, IA: Keokuk Municipal"
1503,11567,"Ephrata/Moses Lake, WA: Ephrata Municipal"
1504,11569,"Epinal, France: Epinal Mirecourt"
1505,11570,"Epena, Congo (Brazaville): Epena Airport"
1506,11571,"Esperance, Australia: Esperance Airport"
1507,11572,"Esquel, Argentina: Esquel Airport"
1508,11573,"Erigavo, Somalia: Erigavo Airport"
1509,11574,"Erzincan, Turkey: Erzincan Airport"
1510,11575,"Berdyansk, Ukraine: Berdyansk Airport"
1511,11576,"Erfurt, Germany: Erfurt Weimar"
1512,11577,"Erie, PA: Erie International/Tom Ridge Field"
1513,11578,"Erechim, Brazil: Erechim Airport"
1514,11579,"Eirunepe, Brazil: Eirunepe Airport"
1515,11580,"Windhoek, Namibia: Eros"
1516,11581,"Erdenet, Mongolia: Erdenet Airport"
1517,11582,"Kerrville, TX: Kerrville Municipal/Louis Schreiner Field"
1518,11583,"Erzurum, Turkey: Erzurum Airport"
1519,11584,"Madrid, Spain: Getafe"
1520,11585,"Esa'ala, Papua New Guinea: Esa'ala Airport"
1521,11586,"Ankara, Turkey: Esenboga"
1522,11587,"Escanaba, MI: Delta County"
1523,11588,"Eastsound, WA: Orcas Island"
1524,11589,"Ensenada, Mexico: General Alberto L. Salinas Carranza"
1525,11590,"Alexandria, LA: Esler Regional"
1526,11591,"Esmeraldas, Ecuador: Coronel Carlos Concha Torres"
1527,11592,"Easton, MD: Easton/Newnam Field"
1528,11593,"Stroudsburg, PA: Stroudsburg Pocono"
1529,11594,"El Salvador, Chile: Ricardo Garcia Posada"
1530,11595,"Essen, Germany: Essen Muelheim"
1531,11596,"Eilat, Israel: Eilat Airport"
1532,11597,"Eastland, TX: Eastland Municipal"
1533,11598,"Enterprise, AL: Enterprise Municipal"
1534,11599,"Metz/Nancy, France: Metz Nancy Lorraine"
1535,11600,"Eua, Tonga: Eua Airport"
1536,11601,"Eureka, NV: Eureka Airport"
1537,11602,"Eufaula, AL: Weedon Field"
1538,11603,"Eugene, OR: Mahlon Sweet Field"
1539,11604,"Laayoune, Morocco: Hassan I International"
1540,11605,"St. Eustatius, Bonaire, Sint Eustatius, and Saba: F.D. Roosevelt"
1541,11606,"Eva Creek, AK: Eva Creek Airport"
1542,11607,"Evenes, Norway: Evenes Airport"
1543,11608,"Sveg, Sweden: Sveg Airport"
1544,11609,"Eveleth, MN: Eveleth Virginia Municipal"
1545,11610,"Yerevan, Armenia: Zvartnots"
1546,11612,"Evansville, IN: Evansville Regional"
1547,11613,"Evanston, WY: Evanston-Uinta County Burns Field"
1548,11614,"Evreux, France: Evreux Fauville"
1549,11615,"New Bedford/Fall River, MA: New Bedford Regional"
1550,11616,"Newton, KS: Newton City County"
1551,11617,"New Bern/Morehead/Beaufort, NC: Coastal Carolina Regional"
1552,11618,"Newark, NJ: Newark Liberty International"
1553,11619,"Excursion Inlet, AK: Excursion Inlet Seaplane Base"
1554,11620,"Exeter, United Kingdom: Exeter Airport"
1555,11621,"George Town, The Bahamas: George Town Airport"
1556,11622,"Yelimane, Mali: Yelimane Airport"
1557,11623,"El Yopal, Colombia: El Yopal Airport"
1558,11624,"Key West, FL: Key West International"
1559,11625,"Ezeiza, Argentina: Ministro Pistarini"
1560,11626,"Elazig, Turkey: Elazig Airport"
1561,11627,"Murrieta/Temecula, CA: French Valley"
1562,11628,"Farnborough, United Kingdom: Farnborough Airport"
1563,11629,"Sorvagur, Denmark: Vagar"
1564,11630,"Fairbanks, AK: Fairbanks International"
1565,11631,"Fajardo, PR: Diego Jimenez Torres"
1566,11632,"False Island, AK: False Island Airport"
1567,11633,"Roma, TX: Falcon State Park"
1568,11634,"Farmington, MO: Farmington Regional"
1569,11635,"Farsund, Norway: Lista"
1570,11636,"Faro, Portugal: Faro Airport"
1571,11637,"Fargo, ND: Hector International"
1572,11638,"Fresno, CA: Fresno Yosemite International"
1573,11639,"Fairmount Island, AK: Fairmount Island Airport"
1574,11640,"Fakarava, French Polynesia: Fakarava Airport"
1575,11641,"Fayetteville, NC: Fayetteville Regional/Grannis Field"
1576,11642,"Fort Bragg, NC: Simmons AAF"
1577,11643,"Fairbanks, AK: Ladd AAF"
1578,11644,"Lubumbashi, Congo (Kinshasa): Lubumbashi International"
1579,11645,"Fort Bridger, WY: Fort Bridger Airport"
1580,11646,"Friday Harbor, WA: Friday Harbor Seaplane Base"
1581,11647,"Oslo, Norway: Fornebu"
1582,11648,"Kalispell, MT: Glacier Park International"
1583,11649,"Fresno, CA: Fresno Chandler Executive"
1584,11650,"Minneapolis, MN: Flying Cloud"
1585,11651,"Rome, Italy: Fiumicino"
1586,11652,"Colorado Springs, CO: Butts AAF"
1587,11653,"Forde, Norway: Forde Airport"
1588,11654,"Fort de France, Martinique: Martinique Aime Cesaire"
1589,11655,"Friedrichshafen, Germany: Friedrichshafen Airport"
1590,11656,"Frederick, MD: Frederick Municipal"
1591,11657,"Frederick, OK: Frederick Regional"
1592,11658,"Bandundu, Congo (Kinshasa): Bandundu Airport"
1593,11659,"Findlay, OH: Findlay Airport"
1594,11660,"Fergana, Uzbekistan: Fergana Airport"
1595,11661,"Fernando de Noronha, Brazil: Fernando de Noronha Airport"
1596,11662,"Freeport, IL: Albertus"
1597,11663,"Fremont, NE: Fremont Municipal"
1598,11664,"Cheyenne, WY: Francis E. Warren AFB Heliport"
1599,11665,"Fez, Morocco: Saiss International"
1600,11666,"Fairford, United Kingdom: RAF Fairford"
1601,11667,"Fergus Falls, MN: Fergus Falls Municipal-Einar Mickelson Field"
1602,11668,"Dayton, OH: Wright-Patterson AFB"
1603,11669,"Frankfort, KY: Capital City"
1604,11670,"Fderik, Mauritania: Fderik Airport"
1605,11671,"Apia, Samoa: Fagali I"
1606,11673,"Fort Huachuca, AZ: Sierra Vista Municipal-Libby AAF"
1607,11674,"Fire Cove, AK: Fire Cove Airport"
1608,11675,"Fishers Island, NY: Elizabeth Field"
1609,11676,"Kinshasa, Congo (Kinshasa): N'Djili International"
1610,11677,"Fillmore, UT: Fillmore Municipal"
1611,11678,"Finschhafen, Papua New Guinea: Finschhafen Airport"
1612,11679,"Fitzroy Crossing, Australia: Fitzroy Crossing Airport"
1613,11680,"Al-Fujairah, United Arab Emirates: Fujairah International"
1614,11681,"Karlsruhe/Baden-Baden, Germany: Karlsruhe/Baden-Baden Airport"
1615,11682,"Kisangani, Congo (Kinshasa): Bangoka International"
1616,11683,"Fukui, Japan: Fukui Airport"
1617,11684,"Franklin/Oil City, PA: Venango Regional"
1618,11685,"Fukushima, Japan: Fukushima Airport"
1619,11686,"Zephyrhills, FL: Zephyrhills Municipal"
1620,11687,"Valkaria, FL: Valkaria Airport"
1621,11688,"Chipley, FL: Vosikas"
1622,11689,"Bunnell, FL: Flagler Executive"
1623,11690,"Williston, FL: Williston Municipal"
1624,11691,"Florencia, Colombia: Gustavo Artunduaga Paredes"
1625,11692,"Floriano, Brazil: Floriano Airport"
1626,11693,"Fond Du Lac, WI: Fond Du Lac County"
1627,11694,"Flensburg, Germany: Flensburg Schaeferhaus"
1628,11695,"Flagstaff, AZ: Flagstaff Pulliam"
1629,11696,"Falls Bay, AK: Falls Bay Airport"
1630,11697,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International"
1631,11698,"Florianopolis, Brazil: Hercilio Luz International"
1632,11699,"Florence, SC: Florence Regional"
1633,11700,"Florence, Italy: Firenze"
1634,11701,"Flinders Island, Australia: Flinders Island Airport"
1635,11702,"Flat, AK: Flat Airport"
1636,11703,"New York, NY: Flushing"
1637,11704,"Leavenworth, KS: Sherman AAF"
1638,11705,"Santa Cruz das Flores, Portugal: Flores"
1639,11706,"Fallon, NV: Fallon Municipal"
1640,11707,"Formosa, Argentina: Formosa Airport"
1641,11708,"Five Mile Camp, AK: Five Mile Camp Airport"
1642,11709,"Falmouth, MA: Cape Cod CGAS"
1643,11710,"Kalemie, Congo (Kinshasa): Kalemie Airport"
1644,11711,"Farmington, NM: Four Corners Regional"
1645,11712,"Greven, Germany: Muenster Osnabrueck"
1646,11713,"Fort Madison, IA: Fort Madison Municipal"
1647,11714,"Fort Myers, FL: Page Field"
1648,11715,"Freetown, Sierra Leone: Freetown Lungi"
1649,11716,"Funchal, Portugal: Madeira"
1650,11717,"Nimes, France: Nimes Garons"
1651,11718,"Pyongyang, North Korea: Pyongyang International"
1652,11719,"Fort Collins/Loveland, CO: Fort Collins-Loveland Municipal"
1653,11720,"Funter Bay Alaska, AK: Funter Bay"
1654,11721,"Flint, MI: Bishop International"
1655,11723,"Fort Bragg, CA: Fort Bragg Airport"
1656,11724,"Fuzhou, China: Changle"
1657,11725,"Fort Dodge, IA: Fort Dodge Regional"
1658,11726,"Topeka, KS: Topeka Regional"
1659,11727,"Foggia, Italy: Foggia Airport"
1660,11728,"Westhampton, NY: Francis S. Gabreski"
1661,11730,"Fortaleza, Brazil: Pinto Martins International"
1662,11731,"Freeport, The Bahamas: Grand Bahama International"
1663,11732,"Fort Pierce, FL: Treasure Coast International"
1664,11733,"Perry, FL: Perry-Foley"
1665,11734,"Patching Lake, AK: Patching Lake Airport"
1666,11735,"Ventura, CA: San Nicolas Island NOLF"
1667,11736,"Kodiak, AK: Lilly Lake"
1668,11737,"Katmai National Park, AK: Trident Volcano"
1669,11738,"Annex Creek, AK: Annex Creek Airport"
1670,11739,"Davidson Creek, AK: Davidson Creek Airport"
1671,11740,"Snettisham, AK: Snettisham Airport"
1672,11741,"Fire Island, AK: Fire Island Airport"
1673,11742,"Scott, KY: Georgetown Scott County - Marshall Field"
1674,11743,"Greens Creek, AK: Greens Creek Airport"
1675,11744,"Gull Cove, AK: Gull Cove Airport"
1676,11745,"Flora, IL: Flora Municipal"
1677,11747,"Karta Lake, AK: Karta Lake Airport"
1678,11748,"Manzanita Lake, AK: Manzanita Lake Airport"
1679,11749,"Shrimp Bay, AK: Shrimp Bay Airport"
1680,11750,"Dry Bay, AK: Dry Bay Airport"
1681,11751,"Josephine Lake, AK: Josephine Lake Airport"
1682,11754,"Libby, MT: Libby Airport"
1683,11755,"Volcano Bay, AK: Volcano Bay Airport"
1684,11756,"Fort Glenn, AK: Fort Glenn Airport"
1685,11757,"Babe Islands, AK: Babe Islands Airport"
1686,11758,"Kahli Cove, AK: Kahli Cove Airport"
1687,11760,"Frankfurt, Germany: Frankfurt Main"
1688,11761,"Franca, Brazil: Franca Airport"
1689,11762,"Friday Harbor, WA: Friday Harbor Airport"
1690,11763,"Frankfurt, Germany: Rhein Main AFB"
1691,11764,"East Farmingdale, NY: Republic"
1692,11765,"Forli, Italy: Forli Airport"
1693,11766,"Fairmont, MN: Fairmont Municipal"
1694,11767,"Floro, Norway: Floro Airport"
1695,11768,"Fresh Water Bay, AK: Fresh Water Bay Airport"
1696,11769,"Front Royal, VA: Front Royal-Warren County"
1697,11770,"Flores, Guatemala: Flores Airport"
1698,11771,"Bishkek, Kyrgyzstan: Manas"
1699,11772,"Francistown, Botswana: Francistown Airport"
1700,11773,"Fryeburg, ME: Eastern Slopes Regional"
1701,11774,"Figari, France: Figari Sud Corse"
1702,11775,"Sioux Falls, SD: Joe Foss Field"
1703,11776,"Fort Sill, OK: Henry Post AAF"
1704,11777,"Fort Scott, KS: Fort Scott Municipal"
1705,11778,"Fort Smith, AR: Fort Smith Regional"
1706,11779,"St. Pierre, Saint Pierre and Miquelon: Saint Pierre"
1707,11780,"Ft. Stockton, TX: Fort Stockton Pecos County"
1708,11781,"Shizuoka, Japan: Shizuoka Airport"
1709,11782,"Fort Collins, CO: Fort Collins Airpark"
1710,11783,"El Calafate, Argentina: El Calafate Airport"
1711,11784,"Denver, CO: Front Range"
1712,11785,"Fort Knox, KY: Godman AAF"
1713,11786,"Fortuna Ledge, AK: Fortuna Ledge Airport"
1714,11787,"Fort Dauphin, Madagascar: Marillac"
1715,11788,"Masvingo, Zimbabwe: Masvingo International"
1716,11789,"Dallas/Fort Worth, TX: Fort Worth Meacham International"
1717,11790,"Atlanta, GA: Fulton County Airport-Brown Field"
1718,11791,"Fuerteventura, Spain: Fuerteventura Airport"
1719,11792,"Fukue, Japan: Fukue Airport"
1720,11793,"Fukuoka, Japan: Fukuoka Airport"
1721,11794,"Fullerton, CA: Fullerton Municipal"
1722,11795,"Funafuti, Tuvalu: Funafuti International"
1723,11796,"Futuna Island, Wallis and Futuna: Futuna Pointe Vele"
1724,11797,"Osprey Lodge, AK: Osprey Lodge Airport"
1725,11798,"Baledogle, Somalia: Baledogle Airport"
1726,11799,"Baikonour, Kazakhstan: Baikonour Airport"
1727,11800,"Sonora, TX: Sonora Municipal"
1728,11801,"Fallbrook, CA: Fallbrook Community Airpark"
1729,11802,"Dadaab, Kenya: Hagadera"
1730,11803,"Wickenburg, AZ: Wickenburg Municipal"
1731,11804,"Othello, WA: Othello Municipal"
1732,11805,"Lake Providence, LA: Byerley"
1733,11806,"Amberley, Australia: Amberley Airport"
1734,11810,"Culbertson, MT: Big Sky Field"
1735,11811,"Aurora, OR: Aurora State"
1736,11812,"Quincy, CA: Gansner Field"
1737,11813,"Donlin Creek Mine, AK: Donlin Creek Mine Airport"
1738,11814,"Three Forks, MT: Three Forks Airport"
1739,11815,"Rexburg, ID: Rexburg-Madison County"
1740,11816,"Latacunga, Ecuador: Latacunga Airport"
1741,11817,"Las Palmas, Peru: Las Palmas Airport"
1742,11818,"Kernville, CA: Kern Valley"
1743,11819,"Golden Creek Mine, AK: Golden Creek Mine Airport"
1744,11820,"Grace Harbor, AK: Grace Harbor Airport"
1745,11821,"Unuk River, AK: Unuk River Airport"
1746,11822,"Deadhorse, AK: Inigok"
1747,11823,"Fort Wayne, IN: Fort Wayne International"
1748,11824,"Fort Worth, TX: Fort Worth NAS JRB/Carswell Field"
1749,11825,"Farewell, AK: Farewell Airport"
1750,11826,"Fort Worth, TX: Fort Worth Spinks"
1751,11827,"Fort Lauderdale, FL: Fort Lauderdale Executive"
1752,11828,"Kaktovik, AK: Bullen Point AFS"
1753,11829,"Nova Freixo, Mozambique: Nova Freixo Airport"
1754,11830,"Clinton, IN: Frankfort Municipal"
1755,11831,"Forest City, IA: Forest City Municipal"
1756,11832,"Faya-Largeau, Chad: Faya-Largeau Airport"
1757,11833,"Fort Yukon, AK: Fort Yukon Airport"
1758,11834,"Fayetteville, AR: Drake Field"
1759,11835,"Filton, United Kingdom: Bristol Filton"
1760,11836,"Lafayette, GA: Barwick Lafayette"
1761,11837,"Carrollton, GA: West Georgia Regional - O V Gray Field"
1762,11838,"Atlanta, GA: Newnan Coweta County"
1763,11839,"Gracias, Honduras: Gracias Airport"
1764,11840,"Gadsden, AL: Northeast Alabama Regional"
1765,11841,"Gabes, Tunisia: Matmata Northeast"
1766,11842,"Gaithersburg, MD: Montgomery County Airpark"
1767,11843,"Yamagata, Japan: Yamagata Airport"
1768,11844,"Galena, AK: Edward G. Pitka Sr."
1769,11845,"Gambell, AK: Gambell Airport"
1770,11846,"Gan Island, Maldives: Gan Island Airport"
1771,11847,"Guantanamo, Cuba: Los Canos"
1772,11848,"Gao, Mali: Gao Airport"
1773,11849,"Garaina, Papua New Guinea: Garaina Airport"
1774,11850,"Gap, France: Gap Tallard"
1775,11851,"Guwahati, India: Guwahati International"
1776,11852,"Gangaw, Burma: Gangaw Airport"
1777,11853,"Gaya, India: Gaya Airport"
1778,11854,"Suffolk, United Kingdom: Wattisham"
1779,11855,"Goose Bay, AK: Goose Bay AAF"
1780,11856,"Great Bend, KS: Great Bend Municipal"
1781,11857,"Gaborone, Botswana: Sir Seretse Khama International"
1782,11858,"Galesburg, IL: Galesburg Municipal"
1783,11859,"Galbraith Lake, AK: Galbraith Lake Airport"
1784,11860,"Marie Galante, Guadeloupe: Marie Galante Airport"
1785,11861,"Gbangbatok, Sierra Leone: Gbangbatok Airport"
1786,11862,"Great Barrington, MA: Walter J. Koladza"
1787,11863,"Khashm El Girba, Sudan: Khashm El Girba Airport"
1788,11864,"Guacamayas, Colombia: Guacamayas Airport"
1789,11865,"Gillette, WY: Gillette Campbell County"
1790,11866,"Guernsey, United Kingdom: Guernsey Airport"
1791,11867,"Garden City, KS: Garden City Regional"
1792,11868,"Grand Cayman, Cayman Islands: Owen Roberts International"
1793,11869,"Grand Canyon, AZ: Grand Canyon National Park"
1794,11870,"Greeneville, TN: Municipal"
1795,11871,"Greenville, SC: Donaldson Field"
1796,11872,"Gode, Ethiopia: Gode Airport"
1797,11873,"Golden Horn Lodge, AK: Golden Horn Lodge Seaplane Base"
1798,11874,"Guadalajara, Mexico: Miguel Hidalgo Y Costilla International"
1799,11875,"Gardner, MA: Gardner Municipal"
1800,11876,"Gdansk, Poland: Gdansk Lech Walesa"
